ALGORITHM,PROCESS,KEYSIZE(bits),SIZEFILES(bytes),TIME(ms)
AES,encrypt,128,150,10
Sha256WithRSA,sign,3072,150,68
RSA,generateEnvelope,3072,384,1
RSA,openEnvelope,3072,16,20
AES,decrypt,128,160,34
Sha256WithRSA,verify,3072,160,35
AES,encrypt,192,150,12
Sha256WithRSA,sign,7680,150,71
RSA,generateEnvelope,7680,960,4
RSA,openEnvelope,7680,24,155
AES,decrypt,192,160,42
Sha256WithRSA,verify,7680,160,19
AES,encrypt,256,150,14
Sha256WithRSA,sign,15360,150,74
RSA,generateEnvelope,15360,1920,11
RSA,openEnvelope,15360,32,2340
AES,decrypt,256,160,46
Sha256WithRSA,verify,15360,160,26
